#separator:tab
#html:true
#guid column:1
#notetype column:2
#deck column:3
#tags column:10
B*@}&%g_4A	Basic (and reversed card)-b9071	日文文法	動詞+ています[動作進行中]	今何をしていますか(現在再做甚麼)<div>[sound:rec1548836993.mp3]</div>					
r9p4f&>*46	Basic (and reversed card)-b9071	日文文法	動詞+ています[習慣性]<div>常與「毎日、いつも、よく、時々」使用</div>	姉は毎朝牛乳を飲んでいます(姊姊每天早上都喝牛奶)<div><div>[sound:rec1548837414.mp3]</div></div>					
lWf3_lg*uJ	Basic (and reversed card)-b9071	日文文法	動詞+ています[工作]	姉は今年から銀行に勤めています(姐姐今年起在銀行服務)<div>[sound:rec1548837743.mp3]</div>					
tN<WFrm/V{	Basic (and reversed card)-b9071	日文文法	動詞+ています[結果或狀態的持續]	クーラーがついています(有開冷氣)[sound:rec1548864540.mp3]					
nQN%9v/7Sp	Basic (and reversed card)-b9071	日文文法	動詞ないで	タバコを吸わないでください(不要抽菸)[sound:rec1548864813.mp3]<div><br /></div>					
lkgT%JdlB_	Basic (and reversed card)-b9071	日文文法	動詞ないで「沒...就...」	昨日は寝ないで勉強しました(昨天整晚讀書沒睡)[sound:rec1548865205.mp3]					
E%UdprA(D>	Basic (and reversed card)-b9071	日文文法	自動詞+...ています	"空に月が出ています(夜空高掛者月亮)[sound:rec1548865381.mp3]<br>（<span style=""background-color: rgb(128, 255, 7);"">自V</span>）<br>1.<span style=""background-color: rgb(128, 255, 7);"">大自然</span>的現象<br>2.<span style=""background-color: rgb(128, 255, 7);"">人/事/物</span>的<span style=""background-color: rgb(254, 204, 102);"">狀態</span>"					
un!^24Q6}>	Basic (and reversed card)-b9071	日文文法	他動詞て+あります 「...者」「已...了」	お弁当はもう作ってあります(便當已經做好了)[sound:rec1548865955.mp3]<div><br /></div>					
f{+=Ite_zN	Basic (and reversed card)-b9071	日文文法	...をください「我要...」「給我...」	安いのをください(請給我便宜的)[sound:rec1548866252.mp3]					
pGwDC{yXv?	Basic (and reversed card)-b9071	日文文法	...てください[請...]	口を大きく開けてください(請把嘴巴張開)[sound:rec1548866421.mp3]					
G)tEsedyVI	Basic (and reversed card)-b9071	日文文法	...ないでください「請不要...」	その部屋に入らないでください(請不要進那間房間)[sound:rec1548866630.mp3]					
x$v)38fOvE	Basic (and reversed card)-b9071	日文文法	動詞てくださいませんか「能不能請你...」	お名前を教えてくださいませんか(能不能告訴我你們姓名)[sound:rec1548866814.mp3]					
vf0DNtF*&o	Basic (and reversed card)-b9071	日文文法	動詞ましょう	ちょっと休みましょう(休息一下吧)[sound:rec1548867216.mp3]					
p1`a{%5N&{	Basic (and reversed card)-b9071	日文文法	動詞ませんか　「要不要...吧」	今晩食事に行きませんか(今晚要不要一起去吃飯)[sound:rec1548951379.mp3]<div><br /></div>					
"Rg?qA#@$O~"	Basic (and reversed card)-b9071	日文文法	...がほしい「...想要...」	どんな恋人がほしいですか(你想要怎樣的情人)[sound:rec1548951649.mp3]					
"u9(m5#B}n,"	Basic (and reversed card)-b9071	日文文法	動詞たい　「...想要做...」	今晩何が食べたいですか(今晚想吃什麼)[sound:rec1548951912.mp3]					
N_$5lM7X?)	Basic (and reversed card)-b9071	日文文法	...とき　「...的時候...」<div>「普通型+とき」「な形容詞+な+とき」</div><div>「形容詞+とき」「名詞+の+とき」</div>	妹が生れたとき、父は外国にいました(妹妹出生的時候,父親在國外)[sound:rec1548952275.mp3]<div><br /></div>					
