front,back,sentence,tags,deck
部分,「ぶぶん」部分,,日文單字N5-N1,日文單字N5-N1
不満,「ふまん」【名・な形】不滿、不滿意不満を持つ&nbsp;/ 帶有不滿[慣用句]この商品には不満な点がある/對這商品有不滿意的點。課税率が高くなるにしたがって、国民の不満が高まった隨著課稅比重的提升，國民的不滿的情緒也更加高漲,,日文N2單字,日文N2單字
踏み切り,「ふみきり」名詞：平交道/下定決心、毅然決然/(體育)起跳類：駆け込む［自V]跑進、跑進相關單位求助,,日文N2單字,日文N2單字
振り込み,"「ふりこみ」名詞：轉帳,匯款",,日文N2單字,日文N2單字
雰囲気,"「ふんいき」氣氛,氛圍",,日文單字N5-N1,日文單字N5-N1
文献,「ぶんけん」文獻,,日文單字N5-N1,日文單字N5-N1
分数,「ぶんすう」分數,,日文單字N5-N1,日文單字N5-N1
文房具,「ぶんぼうぐ」文具,,日文單字N5-N1,日文單字N5-N1
平均,「へいきん」平均,,日文單字N5-N1,日文單字N5-N1
平行,「へいこう」平行,,日文單字N5-N1,日文單字N5-N1
米国,「べいこく」美國,,日文單字N5-N1,日文單字N5-N1
平日,「へいじつ」平日,,日文單字N5-N1,日文單字N5-N1
変化,「へんか」[名、自サ]　變化ヒトが変化する/人會變化思想しそう/思想變化水が氷に変化する,,日文N3單字,日文N3單字
変更,「へんこう」名、他サ：變更、更改＝か換える(他V)N5式典会場しきてんかいじょうを別べつの場所ばしょに変更する(對象)典禮會場ドル　　を　　日本円に換える,,日文N3單字,日文N3單字
弁護士,「べんごし」律師,,日文單字N5-N1,日文單字N5-N1
報告,「ほうこく」【名・他サ】報告部長ぶちょうに調査の結果を報告する,,日文N3單字,日文N3單字
法則,「ほうそく」名：法則,,日文N2單字,日文N2單字
包丁,「ほうちょう」菜刀,,日文單字N5-N1,日文單字N5-N1
忘年会,「ぼうねんかい」尾牙,,日文單字N5-N1,日文單字N5-N1
方法,「ほうほう」方法,,日文單字N5-N1,日文單字N5-N1
方々,「ほうboう」到處,,日文單字N5-N1,日文單字N5-N1
方面,「ほうめん」方面,,日文單字N5-N1,日文單字N5-N1
保存,「ほぞん」名、他サ：保存寫真を保存する／保存照片。,,日文N2單字,日文N2單字
